"attraction_id", "name", "attraction_type", "description", "operating_hours", "location"
1, "Cristo Redentor", 8, "Cristo Redentor é uma estátua que retrata Jesus Cristo localizada no topo do morro do Corcovado, a 709 metros acima do nível do mar, dentro do Parque Nacional da Tijuca.", "Todos os Dias e Turnos.", "Parque Nacional da Tijuca - Alto da Boa Vista, Rio de Janeiro - RJ"
2, "Pão de Açúcar", 8, "Monumento Natural dos Morros do Pão de Açúcar e da Urca é um complexo de morros localizado no bairro da Urca, na cidade do Rio de Janeiro, no Brasil. É composto pelo Morro do Pão de Açúcar e pelo Morro da Urca.", "Todos os Dias (Turno Manhã e Tarde)",  " Av. Pasteur, 520 - Urca, Rio de Janeiro - RJ, 22290-240"
3, "Pedra da Gávea", 2, "Pedra da Gávea é uma montanha monolítica na Floresta da Tijuca, no Rio de Janeiro, Brasil. Composta por granito e gneisse, a sua altitude é de 842 metros, tornando-se uma das montanhas mais altas do mundo junto de margens oceânicas.", "Todos os Dias (Turno Manhã e Tarde)", "Estr. Sorimã - Barra da Tijuca, Rio de Janeiro - RJ, 22611-030"
4, "Museu do Amanhã", 3, "O Museu do Amanhã é um museu construído no município do Rio de Janeiro, no Brasil. O prédio, projeto do arquiteto espanhol Santiago Calatrava, foi erguido ao lado da Praça Mauá, na zona portuária. Sua construção teve o apoio da Fundação Roberto Marinho e teve o custo total de cerca de 230 milhões de reais.", "Todos os dias no Turno Tarde, exceto segunda-feira.", "Praça Mauá, 1 - Centro, Rio de Janeiro - RJ, 20081-240"
5, "Aquario", 5, "O Aquário Marinho do Rio de Janeiro, ou AquaRio, é um equipamento de visitação pública, 100% privado, moderno e multifuncional, de educação, pesquisa, conservação, lazer, entretenimento e cultura. Assim, criou a oportunidade da Cidade do Rio de Janeiro – que tem vocação natural para o turismo ligado ao mar – oferecer a visitação de um espaço único com atrações e tecnologias inovadoras pouco vistas no Brasil.", "Todos os Dias (Turno Manhã e Tarde)", "Praça Muhammad Ali - Via Binário do Porto, s/n - Gamboa, Rio de Janeiro - RJ, 20220-360"
6, "Estação de Bondes de Santa Teresa", 4, "Estação com passeio em bondes vintage para 32 pessoas com parada em restaurantes e atrações.", "Todos os dias (Turno Manhã e Tarde)", "R. Lélio Gama, s/n - Centro, Rio de Janeiro - RJ, 20031-080"
7, "Praia de Copacabana", 1, "A Praia de Copacabana é uma praia localizada no bairro de Copacabana, na Zona Sul da cidade do Rio de Janeiro, no Brasil. É considerada uma das praias mais famosas do mundo.", "Todos os dias (Turno Manhã e Tarde)", "Copacabana; Brasil"
8, "Praia de Ipanema", 1, "Esta é uma praia bastante badalada no Rio, frequentada por artistas, jovens, turistas e moradores que aproveitam seu calçadão para a prática de exercícios. A praia do bairro nobre é um dos points da cidade quando o assunto é curtir o mar e tem uma parte destinada ao público LGBT+. As condições do mar dependem do período, mas muitas vezes o mar é tranquilo, com ondas fracas.", "Todos os dias (Turno Manhã e Tarde)", "Avenida Vieira Souto, Rio de Janeiro, Estado do Rio de Janeiro 22420-002 Brasil"
9, "Maracanã", 8, "Estádio Jornalista Mário Filho, mais conhecido como Maracanã, ou carinhosamente como Maraca, é um estádio de futebol localizado no bairro de mesmo nome, na Zona Norte da cidade brasileira do Rio de Janeiro", "Todos os dias (Turno Manhã e Tarde), exceto Domingo", "R. Prof. Eurico Rabelo - Maracanã, Rio de Janeiro - RJ, 20271-150"
10, "Praia do Arpoador", 1, "Arpoador é uma praia e uma formação rochosa, ambas situadas no bairro de Ipanema, no município do Rio de Janeiro, no estado do Rio de Janeiro, no Brasil. Localiza-se entre as praias do Diabo e de Ipanema. Apresenta espaço restrito, por se tratar de uma praia pequena, com cerca de 500 metros de comprimento", "Todos os dias (Turno Manhã e Tarde)", "Ipanema, Rio de Janeiro - RJ, 22420-002"
11, "Parque Lage", 2, "O Parque Henrique Lage é um parque público da cidade do Rio de Janeiro, localizado aos pés do morro do Corcovado, na rua Jardim Botânico.", "Todos os dias (Turno Manhã e Tarde)", "Zona Sul"
12, "Centro Cultural Banco do Brasil - CCBB Rio de Janeiro", 4, "Inaugurado em 12 de outubro de 1989, o Centro Cultural Banco do Brasil Rio de Janeiro transformou-se rapidamente em um dos centros culturais mais importantes do País. Na lista dos 100 museus mais visitados do mundo em 2016 da publicação inglesa The Art Newspaper, o Centro Cultural do Banco do Brasil no Rio de Janeiro ocupa a 26ª colocação com 2.216.880 visitantes", "Todos os dias e turnos.",  "Rua Primeiro de Março, 66, Rio de Janeiro, Estado do Rio de Janeiro 20010-000 Brasil"
