"Nome do Local", "Tipo do Local", "Descrição", "Dias e Turnos de Funcionamento", "Categoria", "Localização", "Custos de Alimentação"
"Cristo Redentor", "Ponto Turístico / Atração", "Cristo Redentor é uma estátua que retrata Jesus Cristo localizada no topo do morro do Corcovado, a 709 metros acima do nível do mar, dentro do Parque Nacional da Tijuca.", "Todos os Dias e Turnos.", "Principais Pontos Turísticos", "Parque Nacional da Tijuca - Alto da Boa Vista, Rio de Janeiro - RJ", ""
"Pão de Açúcar", "Ponto Turístico / Atração", "Monumento Natural dos Morros do Pão de Açúcar e da Urca é um complexo de morros localizado no bairro da Urca, na cidade do Rio de Janeiro, no Brasil. É composto pelo Morro do Pão de Açúcar e pelo Morro da Urca.", "Todos os Dias (Turno Manhã e Tarde)", "Principais Pontos Turísticos", " Av. Pasteur, 520 - Urca, Rio de Janeiro - RJ, 22290-240", ""
"Pedra da Gávea", "Ponto Turístico / Atração", "Pedra da Gávea é uma montanha monolítica na Floresta da Tijuca, no Rio de Janeiro, Brasil. Composta por granito e gneisse, a sua altitude é de 842 metros, tornando-se uma das montanhas mais altas do mundo junto de margens oceânicas.", "Todos os Dias (Turno Manhã e Tarde)", "Parques e Trilhas", "Estr. Sorimã - Barra da Tijuca, Rio de Janeiro - RJ, 22611-030", ""
"Museu do Amanhã", "Ponto Turístico / Atração", "O Museu do Amanhã é um museu construído no município do Rio de Janeiro, no Brasil. O prédio, projeto do arquiteto espanhol Santiago Calatrava, foi erguido ao lado da Praça Mauá, na zona portuária. Sua construção teve o apoio da Fundação Roberto Marinho e teve o custo total de cerca de 230 milhões de reais.", "Todos os dias no Turno Tarde, exceto segunda-feira.", "Patrimônio Histórico e Cultural, Principais Pontos Turísticos, Arquitetura e Infraestrutura Urbana", "Praça Mauá, 1 - Centro, Rio de Janeiro - RJ, 20081-240", ""
"Aquario", "Ponto Turístico / Atração", "O Aquário Marinho do Rio de Janeiro, ou AquaRio, é um equipamento de visitação pública, 100% privado, moderno e multifuncional, de educação, pesquisa, conservação, lazer, entretenimento e cultura. Assim, criou a oportunidade da Cidade do Rio de Janeiro – que tem vocação natural para o turismo ligado ao mar – oferecer a visitação de um espaço único com atrações e tecnologias inovadoras pouco vistas no Brasil.", "Todos os Dias (Turno Manhã e Tarde)", "Entrenimento e Lazer", "Praça Muhammad Ali - Via Binário do Porto, s/n - Gamboa, Rio de Janeiro - RJ, 20220-360", ""
"Lapa", "Ponto Turístico / Atração", "A Lapa é um bairro boêmio e vibrante, conhecido por seus bares tradicionais, casas noturnas com música ao vivo, salões de dança e rodas de samba ao ar livre abaixo dos Arcos da Lapa, um aqueduto em estilo romano. Outra concentração de vida noturna é a área em torno da Escadaria Selarón, uma obra arquitetônica única adornada por mosaicos de azulejos pintados à mão. Durante o dia, os apaixonados por design circulam pelas lojas vintage e de antiguidades das Ruas do Lavradio e do Senado.", "Todos os Dias (Turno Manhã e Tarde)", "Arquitetura e Infraestrutura Urbana", "Bairro Lapa, Rio de Janeiro", ""
"Estação de Bondes de Santa Teresa", "Ponto Turístico / Atração", "Estação com passeio em bondes vintage para 32 pessoas com parada em restaurantes e atrações.", "Todos os dias (Turno Manhã e Tarde)", "Principais Pontos Turísticos, Patrimônio Histórico e Cultural, Arquitetura e Infraestrutura Urbana", "R. Lélio Gama, s/n - Centro, Rio de Janeiro - RJ, 20031-080", ""
"Praia de Copacabana", "Ponto Turístico / Atração", "A Praia de Copacabana é uma praia localizada no bairro de Copacabana, na Zona Sul da cidade do Rio de Janeiro, no Brasil. É considerada uma das praias mais famosas do mundo.", "Todos os dias (Turno Manhã e Tarde)", "Principais Pontos Turísticos, Praias", "Copacabana; Brasil", ""
"Praia de Ipanema", "Ponto Turístico / Atração", "Esta é uma praia bastante badalada no Rio, frequentada por artistas, jovens, turistas e moradores que aproveitam seu calçadão para a prática de exercícios. A praia do bairro nobre é um dos points da cidade quando o assunto é curtir o mar e tem uma parte destinada ao público LGBT+. As condições do mar dependem do período, mas muitas vezes o mar é tranquilo, com ondas fracas.", "Todos os dias (Turno Manhã e Tarde)", "Praias, Principais Pontos Turísticos", "Avenida Vieira Souto, Rio de Janeiro, Estado do Rio de Janeiro 22420-002 Brasil", ""
"Maracanã", "Ponto Turístico / Atração", "Estádio Jornalista Mário Filho, mais conhecido como Maracanã, ou carinhosamente como Maraca, é um estádio de futebol localizado no bairro de mesmo nome, na Zona Norte da cidade brasileira do Rio de Janeiro", "Todos os dias (Turno Manhã e Tarde), exceto Domingo", "Principais Pontos Turísticos, Arquitetura e Infraestrutura Urbana", "R. Prof. Eurico Rabelo - Maracanã, Rio de Janeiro - RJ, 20271-150", ""
